Iteração;Valor
-1;563647
0;54209
1;55203
2;57201
3;59188
4;61121
5;62575
6;63566
7;65540
8;66504
9;68402
10;69835
11;70797
12;72754
13;74081
14;75039
15;77026
16;78258
17;79213
18;81193
19;82140
20;83083
21;84965
22;85971
23;86884
24;88852
25;90639
26;91549
27;93514
28;95304
29;96172
30;98128
31;98989
32;100950
33;101808
34;103720
35;104549
36;106528
37;108351
38;109172
39;111168
40;113113
41;114199
42;115014
43;116976
44;118032
45;118839
46;120762
47;122471
48;123270
49;125240
50;126037
51;127973
52;128938
53;129733
54;131449
55;132241
56;134174
57;135505
58;136288
59;137968
60;138744
61;140701
62;141471
63;143158
64;143909
65;145827
66;146567
67;148510
68;149588
69;150308
70;152173
71;152852
72;154271
73;154946
74;155986
75;156656
76;158562
77;159440
78;160093
79;160739
80;162420
81;163065
82;164993
83;165634
84;166272
85;168116
86;169507
87;170132
88;172022
89;172809
90;173433
91;175177
92;175778
93;177650
94;178560
95;179156
96;181027
97;181623
98;182213
99;184100
100;184682
101;186577
102;187148
103;188608
104;189167
105;190425
106;190975
107;191517
108;193484
109;194629
110;195163
111;196678
112;197194
113;199098
114;199613
115;201474
116;201980
117;202760
118;203262
119;205051
120;205549
121;206208
122;206702
123;208474
124;208966
125;209456
126;209942
127;211591
128;212067
129;214025
130;214488
131;216438
132;216990
133;217440
134;218161
135;218578
136;220141
137;220550
138;222484
139;222873
140;223262
141;223649
142;224010
143;224546
144;224901
145;226605
146;227065
147;227407
148;229168
149;229496
150;231235
151;231558
152;233244
153;233550
154;235244
155;235547
156;235843
157;237780
158;238073
159;238364
160;240149
161;240434
162;241367
163;241630
164;241860
165;243227
166;243457
167;243630
168;245235
169;245370
170;246857
171;246972
172;248923
173;249852
174;249965
175;251290
176;251397
177;252787
178;252893
179;254785
180;255047
181;255153
182;257015
183;257119
184;258903
185;259004
186;260565
187;260664
188;262542
189;262636
190;263870
191;263961
192;265116
193;265197
194;265802
195;265878
196;266135
197;266179
198;266510
199;266613
200;266653
201;267177
202;267214
203;268195
204;268227
205;268269
206;268298
207;270123
208;270130
209;271040
210;271040
211;271132
212;271132
213;272010
214;272043
215;272042
216;272299
217;272298
218;272374
219;272372
220;274244
221;274534
222;274534
223;274534
224;274534
225;274534
226;274534
-2;11
